,FONOGRAMAS,,,,,,
,Titulo,Release Date,ISRC,ISRC VIDEO,NOMBRE EP/LP,UPC,Main Artists
,Terremoto,2021-06-25 00:00:00,ARBF32000004,,-,,"Matias Mareco, Lucas Rmx, DJ Bryanflow"
,Para Mis Hijos,2021-06-25 00:00:00,ARBF32000011,,-,695845187759.0,Kumbia Melody
,Martes 13 (Acustico),2021-06-25 00:00:00,ARBF32000010,,-,695845187575.0,Kumbia Melody
,A Chillar a Otra Parte,2021-06-25 00:00:00,ARBF32000009,,-,695845187360.0,Kumbia Melody
,Vine a Bendecir,2021-07-14 00:00:00,ARBF32000019,,-,695845150111.0,"Mr. Fonsy, Claudio Magno"
,Presentacion : Ni una Sola Palabra : Linea Ocupada,2021-05-20 00:00:00,ES71G1921522,,La Banda al Rojo Vivo (En Vivo en la Rioja),655857984838.0,La banda al rojo vivo
,Te Amo,,ES71G1921523,,,,
,Dobe Personalidad : Pideme la Luna,,ES71G1921524,,,,
,Corazon Magico,,ES71G1921525,,,,
,Ojala Que No Puedas,,ES71G1921526,,,,
,Amor Clasificado,,ES71G1921527,,,,
,El Universal,,ES71G1921528,,,,
,Cancion de Despedida,,ES71G1921529,,,,
,Me Enamora,,ES71G1921530,,,,
,Otro Ocupa Mi Lugar : Maravillosa Esta Noche,,ES71G1921537,,,,
,Te Quiero,,ES71G1921531,,,,
,Te Quiero Abrazar Bien Fuerte : La Fiesta Ya Empezo,,ES71G1921532,,,,
,Dejame Intentar,,ES71G1921535,,,,
,Hacer el Amor Con Otra : Cachetada,,ES71G1921536,,,,
,Que Lloro,,ES71G1921534,,,,
,El Avion,,ES71G1921533,,,,
,The Pogo,2023-10-21 00:00:00,ARDL12300030,,,1963621672133.0,M Aqui Adonai - David Prince DJ
,Pick It Up,2023-11-02 00:00:00,ARDL12300031,ARS8H2400007,,1963621688530.0,Young Las
,Sentado En La Esquina - Remix,2023-11-09 00:00:00,ARDL12300032,,,1963621712952.0,"Dj Plaga, La Piedra Urbana, Lira"
,Matias Mareco |Misaael: II Entre Ríos,2023-12-21 00:00:00,ARDL12300036,,,1963621776244.0,"Matias Mareco, Misaael"
,Sin Ti Jamás,2023-12-14 00:00:00,ARDL12300037,,Mi Ritmo,1963621862688.0,Corazon Sincero
,Si Tu Supieras,12/30/2023,ARDL12300038,,,1963621862688.0,M Aqui Adonai
,Tan Cerca,2023-01-25 00:00:00,ARDL12300039,,Mi Ritmo,,CORAZON SINCERO
,Lúcete,2024-02-25 00:00:00,ARDL12300040,ARS8H2400010,,1963621912529.0,Juli Savioli
,Todo Pago,2024-02-10 00:00:00,ARDL12300041,,,1963621932312.0,M Aqui Adonai
,Supergirl,2024-03-14 00:00:00,ARDL12300042        ,ARS8H2400008,,1963621947156.0,Young Las
,MI CLAN ,2024-04-10 00:00:00,US-3DF-24-08987,,,,LIT KILLAH
,Estar Contigo,2024-03-21 00:00:00,ARDL12300044,,,1963621998691.0,A Precio de Sangre
,Cuernu,2024-03-21 00:00:00,ARDL12300045,ARS8H2400019,,,GUSTY DJ
,Carta de Despedida,2024-03-28 00:00:00,BK4DA2407453,ARS8H2400001,,,LIT KILLAH X MILO J
,No Estás,2024-04-25 00:00:00,US-3DF-24-21191 - ARDL12300043       ,ARS8H2400021,,1963622010453.0,Young Las
,Toma Mi Corazón,2024-04-04 00:00:00,US-3DF-24-31655,,Mi Ritmo,,CORAZON SINCERO
,Amor Regresa,,US-3DF-24-31650,,,,CORAZON SINCERO
,Fluye en Mí (feat. A Precio de Sangre),2024-04-11 00:00:00,ARDL12300046,,Espera el Tiempo de Dios,1963622145216.0,"Natalia Soledad, A Precio de Sangre"
,El Que Ama Mi Alma,,ARDL12300047,,,,Natalia Soledad
,Espera el Tiempo de Dios,,ARDL12300048,,,,Natalia Soledad
,La Fe,,ARDL12300049,,,,Natalia Soledad
,La Razon de mi Cantar,,ARDL12300050,,,,Natalia Soledad
,Lo Tienes Todo,,ARDL12300051,,,,Natalia Soledad
,Mi Mayor Necesidad,,ARDL12300052,,,,Natalia Soledad
,Pide Lo Que Quieras,,ARDL12300053,,,,Natalia Soledad
,Rendida A Tus Pies Jesus,,ARDL12300054,,,,Natalia Soledad
,Siempre Camine,,ARDL12300055,,,,Natalia Soledad
,Fluye en Mi,,ARDL12300057,,,,Natalia Soledad
,El Super Junte RKT,2024-10-30 00:00:00,ARDL12300056,,,,GUSTY DJ
,Tus Dulces Abrazos,2024-04-19 00:00:00,QZGLS2474714,ARS8H2400020,,,GUSTY DJ
,Mismo Aire,2024-05-09 00:00:00,AR-DL1-23-00058,ARS8H2400022,,1963622124556.0,Juli Savioli
,Vamo a Romper,2024-05-01 00:00:00,ARDL12400001,,,,M Aqui Adonai
,Carta de Despedida,2024-03-27 00:00:00,,ARS8H2400001,,,LIT Killah
,Re Ganado,2024-05-21 00:00:00,ARDL12400002,,,,M Aqui Adonai
,,,,,,,
,Rebolea Remix,2024-05-16 00:00:00,ARDL12400007,,,1963622207990.0,Bianca Lif
,UH LA LA LA - Perreo,2024-05-23 00:00:00,ARDL12400026,,,1963622231971.0,Matias Mareco
,Me Pica La Cabeza,2024-05-24 00:00:00,ARDL12400027,,,1963622232619.0,Juli Jones
,En Movimiento,2024-05-25 00:00:00,ARDL12400028,,,1963622234774.0,Juli Jones
,Gafita Y Chomba,2024-06-06 00:00:00,ARDL12400029,,,8721093291138.0,Bianca Lif
,Dale Chispeate,2024-05-30 00:00:00,ARDL12400030,,,8721093272380.0,ManuVe
,Dreams & Love,,ARDL12400031,,,,LIT killah
,Only Nueva Escuela,2024-06-13 00:00:00,ARDL12400032,,,8721093334163.0,Matias Mareco
,Danzando,2024-06-28 00:00:00,ARDL12400033,,,8721093339281.0,M Aqui Adonai
,Cierre,2024-06-14 00:00:00,ARDL12400034,,,8721093344513.0,Bianca Lif
,Ponte En 4 Que Yo Te Aviso,2024-06-14 00:00:00,ARDL12400035,,,,LAALODJ
,Fe,2024-06-19 00:00:00,ARDL12400036,,,8721093366034.0,MKN
,Tengo Una Notita RKT,2024-06-21 00:00:00,ARDL12400037,,,8721093379041.0,"LAALODJ, FACUU DJ"
,Es La Que Va,2024-06-27 00:00:00,ARDL12400038,,,8721093393719.0,Bianca Lif
,Santo Por Siempre,2024-06-29 00:00:00,ARDL12400039,,,8721093407553.0,Altares Worship
,Espinas,2024-07-25 00:00:00,US-3DF-24-97785,,,1963622326233.0,Juli Savioli
,Te Prestaria Mis Ojos,2024-08-15 00:00:00,US-ANG-24-02075,,,1963622336041.0,Juli Savioli
,Te Escondes,2024-09-19 00:00:00,US-ANG-24-01082,,,1963622336065.0,Juli Savioli
,Dale Menea Mueveme Esa Cola,2024-07-04 00:00:00,ARDL12400040,,,8721093442424.0,LAALODJ
,La Porra Caimanera,,ARDL12400041,,,8721093447597.0,Yankee Dj
,Yo Tengo Una Gata RKT (TikTok),,ARDL12400043,,,8721093448198.0,
,Luna Al Perro,,ARDL12400044,,,752991793811.0,Matias Mareco
,"En Intimidad
",,ARDL12400045,,,8721093505822.0,Altares Worship
,INGRATAAA (TikTok),,ARDL12400047,,,8721093511472.0,LAALODJ 
,Session en el Barrio #13,,ARDL12400048,,,752991875357.0,Gusty Dj
,Lado A Lado #1 (Live Set),,ARDL12400049,,,8721093537519.0,Bianca Lif
,,,,,,,
,Lado A Lado #2 (Live Set),,ARDL12400051,,,8721093538073.0,Bianca Lif
,Tierra Santa,,ARDL12400050,,,8721093547211.0,M Aqui Adonai
,Ingrata,,ARDL12400052,,,8721093561323.0,LAALODJ |PACOREMIX |Alan SSLK
,YO SE QUE TU QUIERES PERREO,,ARDL12400053,,,8721093571438.0,Matias Mareco
,"BABY CUE SESSION #2
",,ARDL12400054,,,8721093580119.0,Baby Cue
,AHORA EN EL BAILE EMPIEZA EL PERREO,,ARDL12400055,,,8721093609919.0,Matias Mareco
,SOM SOM,,ARDL12400056,,,8721093630722.0,BUCCI |FAK
,Quiero Ser Santo,,ARDL12400057,,,8721093631187.0,Altares Worship
,Kita Virtual,,ARDL12400058,,,8721093635611.0,Federikita
,Tu BFF,,ARDL12400059,,,8721093636410.0,Federikita
,(TREND) Kita Virtual,,ARDL12400060,,,8721093647584.0,Federikita
,(IG) Corte Gangster (Perreo Rkt),,ARDL12400061,,,8721093647843.0,FACUU DJ
,(IG) Mas Lentito Mas Lentito RKT,,ARDL12400062,,,8721093647874.0,FACUU DJ
,(IG) Intro Cierre + Rkt Punky,,ARDL12400063,,,8721093647904.0,FACUU DJ
,(IG) Municiones Rkt,,ARDL12400064,,,8721093647935.0,FACUU DJ
,(IG) Pegate Para La Pared,,ARDL12400065,,,8721093647928.0,FACUU DJ
,(IG) Diabolica Rkt,,ARDL12400066,,,8721093647966.0,FACUU DJ
,(IG) No Soy Tu Noviecito Rkt,,ARDL12400067,,,8721093655305.0,FACUU DJ
,(IG) Intocable Rkt,,ARDL12400068,,,8721093655350.0,FACUU DJ
,(IG) Donde Te Pillemos Tarara Tarara Rkt,,ARDL12400069,,,8721093655398.0,FACUU DJ
,(IG) Por La Ex No Se Llora Rkt,,ARDL12400070,,,8721093655428.0,FACUU DJ
,Este Este Este,,ARDL12400071,,,8721093663355.0,Bianca Lif
,,,ARDL12400072,,,,
,Un Millon de Sueños,,ARDL12400073,,,8721093677413.0,DINA
