Label,Artists,Track,ISRC,,,,,,,,,,,,,,,,,,,,,,,
,Dj Plaga|Benji Gramitos,ENVUELTO,ARDL12500027,Benji Gramitos,0.1,,,,,,,,,,,,,,,,,,,,,
,Dj Plaga|Benji Gramitos,ENVUELTO,ARDL12500027,Dj Plaga,0.1,,,,,,,,,,,,,,,,,,,,,
,Dj Plaga|Benji Gramitos,ENVUELTO,ARDL12500027,Santiago Berrio,0.1,,,,,,,,,,,,,,,,,,,,,
,Panky Desalineado and Nikillo Yb featuring Alan SSLK|ManuVe|Dr Moceton and PACOREMIX,PA LA PLAYA,ARDL12500001,"SEBASTIAN LEONEL BENITEZ,",0.8,,,,,,,,,,,,,,,,,,,,,
,"Nicole Fernandez, Cande Gonzalez, Los Byby's and Gusty dj",Te Voy a Olvidar,ARDL12500031,Nicole Fernandez,0.075,,,,,,,,,,,,,,,,,,,,,
,"Nicole Fernandez, Cande Gonzalez, Los Byby's and Gusty dj",Te Voy a Olvidar,ARDL12500031,Cande Gonzalez,,,,,,,,,,,,,,,,,,,,,,
,"Nicole Fernandez, Cande Gonzalez, Los Byby's and Gusty dj",Te Voy a Olvidar,ARDL12500031,Los Byby´s,0.075,,,,,,,,,,,,,,,,,,,,,
,"Nicole Fernandez, Cande Gonzalez, Los Byby's and Gusty dj",Te Voy a Olvidar,ARDL12500031,Gusty Dj,,,,,,,,,,,,,,,,,,,,,,
,Orce|FACUU DJ|Coco Palmer,Turrita,ARDL12500033,Orce,0.8,,,,,,,,,,,,,,,,,,,,,
,FACUU DJ|Kaleb Di Masi,ATREVIDA,ARDL12500005,FACUU DJ,,,,,,,,,,,,,,,,,,,,,,
,FACUU DJ|Kaleb Di Masi,ATREVIDA,ARDL12500005,Kaleb Di Masi,,Docusign Anulado por Caro,,,,,,,,,,,,,,,,,,,,
FACUU DJ,FACUU DJ|Gusty Dj,PERREO DE CHOQUE,ARDL12400085,FACUU DJ,0.15,,,,,,,,,,,,,,,,,,,,,
FACUU DJ,FACUU DJ|Gusty Dj,PERREO DE CHOQUE,ARDL12400085,Gusty Dj,0.15,Release OK,,,,,,,,,,,,,,,,,,,,
,Simo Viani|Coco Palmer,Todo Lo Que Tenga Que Ver Con Vos,ARDL12500016,Coco Palmer,0.05,"Release ""Como Loca""",,,,,,,,,,,,,,,,,,,,
,Simo Viani|Coco Palmer,Todo Lo Que Tenga Que Ver Con Vos,ARDL12500016,Simo Viani,0.25, ,,,,,,,,,,,,,,,,,,,,
,Simo Viani,Como Yo,ARDL12400114, , ,Release Anulado por Caro,,,,,,,,,,,,,,,,,,,,
LAALODJ,LAALODJ|FACUU DJ,Tengo Una Notita RKT,ARDL12400037, , ,Hay un release de sesion x Facuu pero no indica participaciones,,,,,,,,,,,,,,,,,,,,
