album_artist,album,track_artist,track,isrc,upc,release_date,provider,baja
Ariel Casco,Acercate,Ariel Casco,Acercate,ARHXW2002103,695845176265.0,20210625.0,fuga,
Ariel Casco,Acercate,Ariel Casco,Acercate,ARHXW2002103,8445162106979.0,20200606.0,altafonte,x
Ciuffi,Te la Vas a Tener Que Tragar,Ciuffi,El Moco,ES71G1921248,8429006412440.0,20100531.0,altafonte,x
Ciuffi,Te la Vas a Tener Que Tragar,Ciuffi,No Regreses,ES71G1921247,8429006412440.0,20100531.0,altafonte,x
Ciuffi,Te la Vas a Tener Que Tragar,Ciuffi,Le Doy a la Que Venga,ES71G1921245,8429006412440.0,20100531.0,altafonte,x
Ciuffi,Te la Vas a Tener Que Tragar,Ciuffi,Te Quiero Como Sos,ES71G1921244,8429006412440.0,20100531.0,altafonte,x
Ciuffi,Te la Vas a Tener Que Tragar,Ciuffi,El Anillo de Cuero,ES71G1921241,8429006412440.0,20100531.0,altafonte,x
Ciuffi,Te la Vas a Tener Que Tragar,Ciuffi,Te la Vas a Tener Que Tragar,ES71G1921240,8429006412440.0,20100531.0,altafonte,x
Ciuffi,Te la Vas a Tener Que Tragar,Ciuffi,La Ladilla,ES71G1921249,8429006412440.0,20090531.0,altafonte,x
Ciuffi,Te la Vas a Tener Que Tragar,Ciuffi,La Ladilla,ES71G1921249,655857944429.0,20210526.0,fuga,
Ciuffi,Te la Vas a Tener Que Tragar,Ciuffi,El Moco,ES71G1921248,655857944429.0,20210526.0,fuga,
Ciuffi,Te la Vas a Tener Que Tragar,Ciuffi,No Regreses,ES71G1921247,655857944429.0,20210526.0,fuga,
Ciuffi,Te la Vas a Tener Que Tragar,Ciuffi,Te la Vas a Tener Que Tragar,ES71G1921246,655857944429.0,20210526.0,fuga,
Ciuffi,Te la Vas a Tener Que Tragar,Ciuffi,Le Doy a la Que Venga,ES71G1921245,655857944429.0,20210526.0,fuga,
Ciuffi,Te la Vas a Tener Que Tragar,Ciuffi,Te Quiero Como Sos,ES71G1921244,655857944429.0,20210526.0,fuga,
Ciuffi,Te la Vas a Tener Que Tragar,Ciuffi,El Anillo de Cuero,ES71G1921241,655857944429.0,20210526.0,fuga,
Ciuffi,Te la Vas a Tener Que Tragar,Ciuffi,Te la Vas a Tener Que Tragar,ES71G1921240,655857944429.0,20210526.0,fuga,
Elias Tom,Barrio y Corazón,Elias Tom,Si Te Preguntan,ARBF32000034,695845169236.0,20210624.0,fuga,
Elias Tom,Barrio y Corazón,Elias Tom,Odisea,ARBF32000033,695845169236.0,20210624.0,fuga,
Elias Tom,Barrio y Corazón,Elias Tom,Mi Loca,ARBF32000031,695845169236.0,20210624.0,fuga,
Elias Tom,Barrio y Corazón,Elias Tom,Lo Que Ves,ARBF32000030,695845169236.0,20210624.0,fuga,
Elias Tom,Barrio y Corazón,Elias Tom,Escapémonos,ARBF32000029,695845169236.0,20210624.0,fuga,
Elias Tom,Barrio y Corazón,Elias Tom,Oh My God,ARBF32000028,695845169236.0,20210624.0,fuga,
Elias Tom,Barrio y Corazón,Elias Tom,Me Mata,ARBF32000027,695845169236.0,20210624.0,fuga,
Elias Tom,Barrio y Corazón,Elias Tom,Pa´ Qué Negar,ARBF32000026,695845169236.0,20210624.0,fuga,
Elias Tom,Barrio y Corazón,Elias Tom,Si Te Preguntan,ARBF32000034,8445162206839.0,20200918.0,altafonte,x
Elias Tom,Barrio y Corazón,Elias Tom,Odisea,ARBF32000033,8445162206839.0,20200918.0,altafonte,x
Elias Tom,Barrio y Corazón,Elias Tom,Mi Loca,ARBF32000031,8445162206839.0,20200918.0,altafonte,x
Elias Tom,Barrio y Corazón,Elias Tom,Lo Que Ves,ARBF32000030,8445162206839.0,20200918.0,altafonte,x
Elias Tom,Barrio y Corazón,Elias Tom,Escapémonos,ARBF32000029,8445162206839.0,20200918.0,altafonte,x
Elias Tom,Barrio y Corazón,Elias Tom,Oh My God,ARBF32000028,8445162206839.0,20200918.0,altafonte,x
Elias Tom,Barrio y Corazón,Elias Tom,Me Mata,ARBF32000027,8445162206839.0,20200918.0,altafonte,x
Elias Tom,Barrio y Corazón,Elias Tom,Pa´ Qué Negar,ARBF32000026,8445162206839.0,20200918.0,altafonte,x
