isrc,artista,vid
ARS8H2400002,Lit Killah|Nicki Nicole,Somos 3
ARS8H2400003,LIT killah,Kustom
ARS8H2400040,LIT killah,BPM
ARS8H2400041,LIT killah,Carta de Despedida
ARS8H2400042,LIT killah,DAME Q
ARS8H2400043,LIT killah,DAMN GIRL
ARS8H2400044,LIT killah,MALA SUERTE
ARS8H2400045,LIT killah,LA ELITE
ARS8H2400046,LIT killah,NADA DE NADA
ARS8H2400047,LIT killah,SOMOS 3
ARS8H2400048,LIT killah,DREAMS & LOVE
ARS8H2400049,LIT killah,ALL INCLUSIVE
ARS8H2400050,LIT killah,LUXxX
ARS8H2400051,LIT killah,NO LOS VI
ARS8H2400052,LIT killah,MALA SUERTE
ARS8H2400053,LIT killah|Paulo Londra feat. Big One,Protagonista
ARS8H2400054,GUSTY DJ|Peipper|Ecko featuring elaggume,Novio Nuevo
ARS8H2400055,,
ARS8H2400056,,
ARS8H2400057,,
ARS8H2400058,,
ARS8H2400059,,
ARS8H2400060,,
