isrc,artista,track
ARDL12500001,"Panky Desalineado and Nikillo Yb featuring Alan SSLK, ManuVe, Dr Moceton and PACOREMIX",PA LA PLAYA
ARDL12500002,Coco Palmer|Joaquin Da Rosa,Romantico
ARDL12500003,Federikita,Factos
ARDL12500004,Luli Barrios,Decile a las Demás
ARDL12500005,FACUU DJ|Kaleb Di Masi,ATREVIDA
ARDL12500006,A Precio de Sangre featuring Sebastián Mendoza,Tus Cuerdas de Amor
ARDL12500007,Baby Cue,No Tengo Time
ARDL12500008,Baby Cue,LAVAGIRL
ARDL12500009,TOTI|Coco Palmer,Garota
ARDL12500010,Natalia Soledad feat. David Ezequiel,UNCIÓN EN EL AIRE
ARDL12500011,LIT killah,FIAMORE
ARDL12500012,Bianca Lif|Vale,Abusal
ARDL12500013,PACOREMIX|TOTI|Alan SSLK featuring LAALO DJ,Cuatro y Pico
ARDL12500014,Juli Savioli,Una Noche de Terror
ARDL12500015,"Biei, Croniko",BLIN
ARDL12500016,Simo Viani|Coco Palmer,Como Loca
ARDL12500017,FACUU DJ|El Joan,Pa La Calle
ARDL12500018,Gusty dj|Lolo og,
ARDL12500019,BUCCI|El Doc,TIK TAK
ARDL12500020,SoyTiara,ANILLO Y CADENA
ARDL12500021,Cande Gonzalez|Agus Padilla|Gusty dj,Tensión
ARDL12500022,A Precio de Sangre featuring Jorge Avila,Te Amo - Bésame
ARDL12500023,Samuel Peralta,Mas Me Das Mas
ARDL12500024,FederiKita|Baby Cue,BERRETINES DE ARTISTA
ARDL12500025,Luli Barrios,Si Te Da
ARDL12500026,Aneley,Me Erizas la Piel
ARDL12500027,Dj Plaga|Benji Gramitos,ENVUELTO
ARDL12500028,LAALODJ,Anomis
ARDL12500029,Tatum 73,Te Pensaste Que Yo Pensé
ARDL12500030,Candu Dominguez,03:33:00
ARDL12500031,Nicole Fernandez,Te Voy a Olvidar
ARDL12500032,M Aqui Adonai,Abatido
ARDL12500033,Orce|FACUU DJ|Coco Palmer,Turrita
ARDL12500034,LIT killah|Neutro Shorty,Dresscode
ARDL12500035,El Retutu,Del Barrio Para el Barrio
ARDL12500036,TOTI,2X1
ARDL12500037,Dj Plaga|Mc Tota|El Turko,La Egresada
ARDL12500038,SoyTiara|Luz Eluney,TAN DOLIDOS
ARDL12500039,Alan SSLk|PACORMX,Corazoncito
ARDL12500040,A Precio de Sangre|Nueva Adoración,Que Ruja el León
ARDL12500041,M Aqui Adonai,De Lo Más Profundo
ARDL12500042,ACIT x|BRUSI,CASINO
ARDL12500043,Gusty dj|Ezequiel Matthysse,Diabla
ARDL12500044,Emiliano Nahuel,La Cabida
ARDL12500045,Emiliano Nahuel featuring Flow Lokillo,Estilo Criminal
ARDL12500046,Emiliano Nahuel,Sin Saber
ARDL12500047,Luli Barrios,Heridas
ARDL12500048,Gusty dj|Ezequiel Matthysse,Session en el Barrio #15
ARDL12500049,Emiliano Nahuel,Somos de Barrio
ARDL12500050,Candu Dominguez,Tu Último Baile
ARDL12500051,Grupo Red|Lolo OG|Nicole Fernandez,No Podré Olvidarme De Ti / Amor De Adolescentes
ARDL12500052,Alexis Benjamin,¿QUIEN SOY?
ARDL12500053,FACUU DJ|mamiyosyoyelth,MAMI TE JURO
ARDL12500054,Titan13|Klan,Q Pasó
ARDL12500055,LIT killah|Gera MX,Despedida
ARDL12500056,Aneley|Maxi Espindola|Valen,Ese Hombre
ARDL12500057,Fak,FAKROOM#1 BANDIDA
ARDL12500058,Dj Plaga|mamiyosoyelth,PERREO TH7
ARDL12500059,Candu Dominguez,Por Qué Tú
ARDL12500060,Mandale Flow|GABI SRB|Tirri La Roca,BLAN BLAN
ARDL12500061,Dj Plaga|John Eric|Santiago Berrio,Guarache
ARDL12500062,El Retutu,"Lo Que Pasó, Pasó"
ARDL12500063,Grupo La IA,Sola Con Mi Soledad
ARDL12500064,Orce|Dj Plaga|Mc Tota featuring Paly|Lit White,Eu Voce
ARDL12500065,El Mendo,Soñadores
ARDL12500066,Gusty dj|R Jota|Callejero Fino,Teníamos Menos
ARDL12500067,Emiliano Nahuel|HDR|LCA FLK|kid wazi,Plan B
ARDL12500068,Kevin Maidana,Lo Intenté
ARDL12500069,Aneley|La Kuppe,Como Duele Perderte
ARDL12500070,Yosoyemii|El Turko,Prestado
ARDL12500071,Dj Plaga|Mc Tota|El Turko|mamiyosoyelth,Tumbalakatumba
ARDL12500072,TOTI|FACUU DJ,Session Funk - TOTI x FACUU DJ
ARDL12500073,Paly|Juan Rmx,Perreo Rebota
ARDL12500074,ACIT x,Fancy
ARDL12500075,Grupo La IA,Amala
ARDL12500076,LIT killah,1 - Parking
ARDL12500077,LIT killah,2 - Nada Facil ft. Hades66
ARDL12500078,LIT killah,"3 - OKEY ft. Lil Pump, Nesty"
ARDL12500079,LIT killah,4- Label
ARDL12500080,LIT killah,"5 - Mas de uno ft. Polima, Luchito ssj"
ARDL12500081,LIT killah,6- Epoca de cambio
ARDL12500082,Cande Gonzalez,Amor Gitano
ARDL12500083,A Precio de Sangre Feat. Rey de Reyes,Amamos Tanto Tu Presencia
ARDL12500084,Aneley|Coty Hernández,Amigos No Por Favor
ARDL12500085,Tatum 73,La Oportunidad
ARDL12500086,Orce|Dj Plaga|Ciganda,Los Hombres No Lloran
ARDL12500087,Nicole Fernandez,Estadio Set
ARDL12500088,Dai Sanchez|Daniel Cardozo,Indiferente
ARDL12500089,Candu Dominguez|Fak,Qué Ironía
ARDL12500090,Valen|Rocío Quiroz|Los Nocheros|Nicole Fernandez,Procuro Olvidarte
ARDL12500091,ACIT x,Como El Agua
ARDL12500092,FACUU DJ|Paly|Mc Tota,Ese Cu Tiene Poderes
ARDL12500093,Dj Plaga,Carita de Bandida
ARDL12500094,,
ARDL12500095,,
ARDL12500096,,
ARDL12500097,,
ARDL12500098,,
ARDL12500099,,
ARDL12500100,,
ARDL12500101,,
