album_artist,album,track_artist,track,isrc,upc,release_date,provider,sello,,
Matias Mareco,Agarrala Cumbion,Matias Mareco,Agarrala Cumbion,QMDA72593655,199538603538.0,2025-08-22 00:00:00,orchard,x,,
Tibbass|JuanmaDj,Yo Soy El Único RKT,Tibbass|JuanmaDj,Yo Soy El Único RKT,QMDA72559621,199538510560.0,2025-08-09 00:00:00,orchard,x,,
DJSNOWS|Nacho Pereira,EP #2,DJSNOWS|Nacho Pereira,REGGAETON RKT,QMDA72531935,199538458701.0,2025-08-07 00:00:00,orchard,,,
DJSNOWS|Nacho Pereira,EP #2,DJSNOWS|Nacho Pereira,MOVIMIENTO RKT,QMDA72531936,199538458701.0,2025-08-07 00:00:00,orchard,,,
DJSNOWS|Nacho Pereira,EP #2,DJSNOWS|Nacho Pereira,LLAMÁNDOME RKT,QMDA72531937,199538458701.0,2025-08-07 00:00:00,orchard,,,
DJSNOWS|Nacho Pereira,EP #2,DJSNOWS|Nacho Pereira,BAILE INOLVIDABLE RKT,QMDA72531938,199538458701.0,2025-08-07 00:00:00,orchard,,,
Tibbass|BLITO RMX,Ponteme Agresiva RKT,Tibbass|BLITO RMX,Ponteme Agresiva RKT,QMDA72531963,199538433302.0,2025-08-02 00:00:00,orchard,x,,
Matias Mareco|EIRON RMX,Baile Inolvidable,Matias Mareco|EIRON RMX,Baile Inolvidable,QMDA72522924,199538433630.0,2025-07-30 00:00:00,orchard,x,,
Juanma Girat,Set Live RKT 3,Juanma Girat,ME LA PASO EN EL CASE,QMDA62597833,199538363494.0,2025-07-24 00:00:00,orchard,,,
Juanma Girat,Set Live RKT 3,Juanma Girat,VOLVI,QMDA62597834,199538363494.0,2025-07-24 00:00:00,orchard,,,
Juanma Girat,Set Live RKT 3,Juanma Girat ft. Tomi Rmx,DEL CASE,QMDA62597835,199538363494.0,2025-07-24 00:00:00,orchard,,,
Juanma Girat,Set Live RKT 3,Juanma Girat ft Eze Remix,CONEJITA RKT,QMDA62597836,199538363494.0,2025-07-24 00:00:00,orchard,,,
Juanma Girat,Set Live RKT 3,Juanma Girat ft. Los Anormales,CHAIN DE ROQUE,QMDA62597837,199538363494.0,2025-07-24 00:00:00,orchard,,,
Juanma Girat,Set Live RKT 3,Juanma Girat,EN LO OSCURO,QMDA62597838,199538363494.0,2025-07-24 00:00:00,orchard,,,
Juanma Girat,Set Live RKT 3,"Juanma Girat ft. DJ Feed, Juan Zapata DJ",A 200,QMDA62597839,199538363494.0,2025-07-24 00:00:00,orchard,,,
Virrshi DJ|DJ Kuff,Ella Lo Baila RKT,Virrshi DJ|DJ Kuff,Ella Lo Baila RKT,QMDA62591912,199538337082.0,2025-07-22 00:00:00,orchard,x,,
DJ Lazerk Rmx|Tomi Rmx,DALE CON LA CORREA,DJ Lazerk Rmx|Tomi Rmx,DALE CON LA CORREA,QMDA62568121,199538273465.0,2025-06-07 00:00:00,orchard,x,,
More Savan|Sergio Ponce,Linda Mujer Techengue,More Savan|Sergio Ponce,Linda Mujer Techengue,QMDA62537862,199538208078.0,2025-07-10 00:00:00,orchard,x,,
More Savan|Sergio Ponce,Me Pongo Bonito Afro,More Savan|Sergio Ponce,Me Pongo Bonito Afro,QMDA62537856,199538203806.0,2025-07-10 00:00:00,orchard,x,,
LAALODJ|Cesar B,Secreto RKT,LAALODJ|Cesar B,Secreto RKT,QMDA62530410,199538233667.0,2025-07-06 00:00:00,orchard,x,,
Joaquín Arce,Dale Zorrinha,Joaquín Arce,Dale Zorrinha,QMDA62529940,199538139617.0,2025-07-03 00:00:00,orchard,,,
Matias Mareco,PRRUM REMIX,Matias Mareco,PRRUM REMIX,QMBZ92536105,199350947056.0,2025-06-07 00:00:00,orchard,x,,
LAALODJ|Gusty dj,Tu Piloto,LAALODJ|Gusty dj,Tu Piloto,QMBZ92510677,199350813795.0,2025-05-29 00:00:00,orchard,x,,
