TITULO,ALBUM,ARTISTA,ISRC,SELLO,TITULAR DERECHO,PERÍODO,AÑO DE PUBLICACIÓN,ENVIO A MONITOREO,CAPIF
La Chica de la Moto,Tangos a Dos Flautas y Guitarra,La Banda Al Rojo Vivo,ARA821400315,Rgs Music,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2014.0,SI,SI
Fuiste Tu,Fenix,La Banda Al Rojo Vivo,ARA821400316,Rgs Music / Cohen,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2014.0,SI,SI
Amor Secreto,Fenix,La Banda Al Rojo Vivo,ARA821400317,Rgs Music / Cohen,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2014.0,SI,SI
Va Todo al Ganador,Fenix,La Banda Al Rojo Vivo,ARA821400318,Rgs Music / Cohen,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2014.0,SI,SI
Tan Solo Tu,Fenix,La Banda Al Rojo Vivo,ARA821400319,Rgs Music / Cohen,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2014.0,SI,SI
Tu Sin Mi,Fenix,La Banda Al Rojo Vivo,ARA821400320,Rgs Music / Cohen,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2014.0,SI,SI
Amor de Mañana,Fenix,La Banda Al Rojo Vivo,ARA821400321,Rgs Music / Cohen,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2014.0,SI,SI
Ya No Me Duele,Fenix,La Banda Al Rojo Vivo,ARA821400322,Rgs Music / Cohen,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2014.0,SI,SI
Que Par de Pájaros,Fenix,La Banda Al Rojo Vivo,ARA821400323,Rgs Music / Cohen,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2014.0,SI,SI
Ahora Quiere Volver,Fenix,La Banda Al Rojo Vivo,ARA821400324,Rgs Music / Cohen,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2014.0,SI,SI
Once y Media,Fenix,La Banda Al Rojo Vivo,ARA821400325,Rgs Music / Cohen,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2014.0,SI,SI
Conmigo o Con El,Fenix,La Banda Al Rojo Vivo,ARA821400326,Rgs Music / Cohen,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2014.0,SI,SI
Te Perdí,Fenix,La Banda Al Rojo Vivo,ARA821400327,Rgs Music / Cohen,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2014.0,SI,SI
No Pude Quitarle las Espinas,Fenix,La Banda Al Rojo Vivo,ARA821400328,Rgs Music / Cohen,MAWZ MUSIC S.R.L (100%),01/01/2019 - 31/12/2099,2014.0,SI,SI
