album_artist,album,track_artist,track,isrc,upc,release_date,provider otw,notas
FACUU DJ,Corte Gangster (Perreo Rkt),FACUU DJ,Corte Gangster (Perreo Rkt),ARDL12400061,8721093647843.0,20240815,onerpm,
FACUU DJ|Papu DJ,Diabolica Rkt,FACUU DJ|Papu DJ,Diabolica Rkt,ARDL12400066,8721093647966.0,20240815,onerpm,
FACUU DJ,Donde Te Pillemos Tarara Tarara Rkt,FACUU DJ,Donde Te Pillemos Tarara Tarara Rkt,ARDL12400069,8721093655398.0,20240815,onerpm,
FACUU DJ,Intocable Rkt,FACUU DJ,Intocable Rkt,ARDL12400068,8721093655350.0,20240815,onerpm,
FACUU DJ,Intro Cierre + Rkt Punky,FACUU DJ,Intro Cierre + Rkt Punky,ARDL12400063,8721093647904.0,20240815,onerpm,
FACUU DJ,Mas Lentito Mas Lentito RKT,FACUU DJ,Mas Lentito Mas Lentito RKT,ARDL12400062,8721093647874.0,20240815,onerpm,
FACUU DJ,Municiones Rkt,FACUU DJ|DJ Pirata,Municiones Rkt,ARDL12400064,8721093647935.0,20240815,onerpm,
FACUU DJ,No Soy Tu Noviecito Rkt,FACUU DJ,No Soy Tu Noviecito Rkt,ARDL12400067,8721093655305.0,20240815,onerpm,
FACUU DJ,Por La Ex No Se Llora Rkt,FACUU DJ,Por La Ex No Se Llora Rkt,ARDL12400070,8721093655428.0,20240818,onerpm,
Matias Mareco,AHORA EN EL BAILE EMPIEZA EL PERREO,Matias Mareco,AHORA EN EL BAILE EMPIEZA EL PERREO,ARDL12400055,8721093609919.0,20240808,onerpm,
Bianca Lif,Cierre,Bianca Lif,Cierre,ARDL12400034,8721093344513.0,20240614,onerpm,
LAALODJ|Matt Sebastian,Dale Menea Mueveme Esa Cola,LAALODJ|Matt Sebastian,Dale Menea Mueveme Esa Cola,ARDL12400040,8721093442424.0,20240704,onerpm,
Bianca Lif,Es La Que Va,Bianca Lif,Es La Que Va,ARDL12400038,8721093393719.0,20240627,onerpm,
Bianca Lif,Este Este Este,Bianca Lif,Este Este Este,ARDL12400071,8721093663355.0,20240815,onerpm,
Bianca Lif,Gafita Y Chomba,Bianca Lif,Gafita Y Chomba,ARDL12400029,8721093291138.0,20240606,onerpm,
Bianca Lif,Lado a Lado #1 (Live Set),Bianca Lif,Lado a Lado #2 (Live Set),ARDL12400051,8721093537519.0,20240808,onerpm,
Bianca Lif,Lado a Lado #2 (Live Set),Bianca Lif,Lado A Lado #1 (Live Set),ARDL12400049,8721093538073.0,20240809,onerpm,
Bianca Lif,Lado a Lado #3 (Live Set),Bianca Lif,Lado a Lado #3 (Live Set),ARDL12400076,8721093870920.0,20240906,onerpm,
Bianca Lif,Lado a Lado #4 (Live Set),Bianca Lif,Lado a Lado #4 (Live Set),ARDL12400100,8721253116042.0,20241014.0,onerpm,
FACUU DJ|Mambo DJ,Pegate Para La Pared,FACUU DJ|Mambo DJ,Pegate Para La Pared,ARDL12400065,8721093647928.0,20240815,onerpm,
LAALODJ,Ponte En 4 Que Yo Te Aviso,LAALODJ,Ponte En 4 Que Yo Te Aviso,ARDL12400035,8721093344797.0,20240613,onerpm,otro x2
Matias Mareco,Only Nueva Escuela,Matias Mareco,Only Nueva Escuela,ARDL12400032,8721093334163.0,20240613,onerpm,otro x2
LAALODJ|FACUU DJ,Tengo Una Notita RKT,LAALODJ|FACUU DJ,Tengo Una Notita RKT,ARDL12400037,8721093379041.0,20240621,onerpm,otro x2
Matias Mareco,YO SE QUE TU QUIERES PERREO,Matias Mareco,YO SE QUE TU QUIERES PERREO,ARDL12400053,8721093571438.0,20240801,onerpm,
Matias Mareco,100% Perreo,Matias Mareco,100% Perreo,ARBF32000012,695845187292.0,20210625,fuga,x2
Matias Mareco DJ,100% Perreo,Matias Mareco DJ,100% Perreo,ARBF32000012,8445162174954.0,20200807,altafonte,x2
Matias Mareco,Mega Bombea,Matias Mareco,Mega Bombea,ARBF32000047,695845124334.0,20210621,fuga,x2
Matias Mareco DJ,Mega Bombea,Matias Mareco DJ,Mega Bombea,ARBF32000047,8445162244954.0,20211021,altafonte,x2
